 1.62181010e+01 -1.27900436e+02  1.62181010e+01 -2.08465374e+01 
 1.65958691e+01 -1.27874593e+02  1.65958691e+01 -2.12890679e+01 
 1.69824365e+01 -1.27847696e+02  1.69824365e+01 -2.17391651e+01 
 1.73780083e+01 -1.27819708e+02  1.73780083e+01 -2.21968455e+01 
 1.77827941e+01 -1.27790593e+02  1.77827941e+01 -2.26621179e+01 
 1.81970086e+01 -1.27760314e+02  1.81970086e+01 -2.31349834e+01 
 1.86208714e+01 -1.27728833e+02  1.86208714e+01 -2.36154354e+01 
 1.90546072e+01 -1.27696110e+02  1.90546072e+01 -2.41034580e+01 
 1.94984460e+01 -1.27662108e+02  1.94984460e+01 -2.45990267e+01 
 1.99526231e+01 -1.27626786e+02  1.99526231e+01 -2.51021075e+01 
 2.04173794e+01 -1.27590105e+02  2.04173794e+01 -2.56126569e+01 
 2.08929613e+01 -1.27552025e+02  2.08929613e+01 -2.61306212e+01 
 2.13796209e+01 -1.27512504e+02  2.13796209e+01 -2.66559365e+01 
 2.18776162e+01 -1.27471503e+02  2.18776162e+01 -2.71885277e+01 
 2.23872114e+01 -1.27428980e+02  2.23872114e+01 -2.77283091e+01 
 2.29086765e+01 -1.27384896e+02  2.29086765e+01 -2.82751840e+01 
 2.34422882e+01 -1.27339208e+02  2.34422882e+01 -2.88290431e+01 
 2.39883292e+01 -1.27291876e+02  2.39883292e+01 -2.93897664e+01 
 2.45470892e+01 -1.27242861e+02  2.45470892e+01 -2.99572214e+01 
 2.51188643e+01 -1.27192122e+02  2.51188643e+01 -3.05312636e+01 
 2.57039578e+01 -1.27139619e+02  2.57039578e+01 -3.11117365e+01 
 2.63026799e+01 -1.27085314e+02  2.63026799e+01 -3.16984711e+01 
 2.69153480e+01 -1.27029168e+02  2.69153480e+01 -3.22912868e+01 
 2.75422870e+01 -1.26971143e+02  2.75422870e+01 -3.28899888e+01 
 2.81838293e+01 -1.26911204e+02  2.81838293e+01 -3.34943728e+01 
 2.88403150e+01 -1.26849314e+02  2.88403150e+01 -3.41042207e+01 
 2.95120923e+01 -1.26785439e+02  2.95120923e+01 -3.47193032e+01 
 3.01995172e+01 -1.26719545e+02  3.01995172e+01 -3.53393795e+01 
 3.09029543e+01 -1.26651601e+02  3.09029543e+01 -3.59641973e+01 
 3.16227766e+01 -1.26581577e+02  3.16227766e+01 -3.65934937e+01 
 3.23593657e+01 -1.26509442e+02  3.23593657e+01 -3.72269947e+01 
 3.31131121e+01 -1.26435170e+02  3.31131121e+01 -3.78644167e+01 
 3.38844156e+01 -1.26358736e+02  3.38844156e+01 -3.85054666e+01 
 3.46736850e+01 -1.26280116e+02  3.46736850e+01 -3.91498426e+01 
 3.54813389e+01 -1.26199288e+02  3.54813389e+01 -3.97972337e+01 
 3.63078055e+01 -1.26116233e+02  3.63078055e+01 -4.04473227e+01 
 3.71535229e+01 -1.26030932e+02  3.71535229e+01 -4.10997845e+01 
 3.80189396e+01 -1.25943373e+02  3.80189396e+01 -4.17542885e+01 
 3.89045145e+01 -1.25853540e+02  3.89045145e+01 -4.24104982e+01 
 3.98107171e+01 -1.25761423e+02  3.98107171e+01 -4.30680736e+01 
 4.07380278e+01 -1.25667014e+02  4.07380278e+01 -4.37266689e+01 
 4.16869383e+01 -1.25570308e+02  4.16869383e+01 -4.43859390e+01 
 4.26579519e+01 -1.25471300e+02  4.26579519e+01 -4.50455342e+01 
 4.36515832e+01 -1.25369990e+02  4.36515832e+01 -4.57051054e+01 
 4.46683592e+01 -1.25266379e+02  4.46683592e+01 -4.63643026e+01 
 4.57088190e+01 -1.25160471e+02  4.57088190e+01 -4.70227781e+01 
 4.67735141e+01 -1.25052272e+02  4.67735141e+01 -4.76801851e+01 
 4.78630092e+01 -1.24941791e+02  4.78630092e+01 -4.83361796e+01 
 4.89778819e+01 -1.24829038e+02  4.89778819e+01 -4.89904214e+01 
 5.01187234e+01 -1.24714027e+02  5.01187234e+01 -4.96425755e+01 
 5.12861384e+01 -1.24596774e+02  5.12861384e+01 -5.02923113e+01 
 5.24807460e+01 -1.24477296e+02  5.24807460e+01 -5.09393051e+01 
 5.37031796e+01 -1.24355613e+02  5.37031796e+01 -5.15832405e+01 
 5.49540874e+01 -1.24231747e+02  5.49540874e+01 -5.22238080e+01 
 5.62341325e+01 -1.24105723e+02  5.62341325e+01 -5.28607060e+01 
